,Unnamed: 0,bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0,0.0,020400010AAAAAA,Pindolol/Clopamide,Pindolol/Clopamide_Tab 10mg/5mg,Pindolol With Diuretic,,10 mg,beta blockers,False,False
1,1.0,020400010BBAAAA,Viskaldix,Viskaldix_Tab,Pindolol With Diuretic,,,beta blockers,False,False
2,2.0,020400020AAAAAA,Sotalol HCl/Hydchloroth,Sotalol HCl/Hydchloroth_Tab 160mg/25mg,Sotalol Hydrochloride With Diuretic,,160 mg,beta blockers,False,True
3,3.0,020400020AAABAB,Sotalol HCl/Hydchloroth,Sotalol HCl/Hydchloroth_Tab 80mg/12.5mg,Sotalol Hydrochloride With Diuretic,,80 mg,beta blockers,False,True
4,4.0,020400020BBAAAA,Sotazide,Sotazide_Tab,Sotalol Hydrochloride With Diuretic,,,beta blockers,False,False
5,5.0,020400020BCAAAB,Tolerzide,Tolerzide_Tab,Sotalol Hydrochloride With Diuretic,,,beta blockers,False,False
6,6.0,020400030AAAAAA,Timolol + Diuretic,Gppe Tab_Moducren,Timolol With Diuretic,,,beta blockers,False,False
7,7.0,020400030AAABAB,Timolol + Diuretic,Gppe Tab_Prestim,Timolol With Diuretic,,,beta blockers,False,False
8,8.0,020400030AAACAC,Timolol + Diuretic,Timolol/Bendroflumeth_Tab 20mg/5mg,Timolol With Diuretic,,20 mg,beta blockers,False,False
9,9.0,020400030AAADAD,Timolol + Diuretic,Timolol/Amilo/Hydchloroth_Tab10/2.5/25mg,Timolol With Diuretic,,25 mg,beta blockers,False,True
10,10.0,020400030AAAEAE,Timolol + Diuretic,Timolol/Bendroflumeth_Tab 10mg/2.5mg,Timolol With Diuretic,,10 mg,beta blockers,False,False
11,11.0,020400030BBAAAA,Moducren,Moducren_Tab,Timolol With Diuretic,,,beta blockers,False,False
12,12.0,020400030BCAAAB,Prestim,Prestim_Tab,Timolol With Diuretic,,,beta blockers,False,False
13,13.0,020400030BCABAC,Prestim,Prestim Fte_Tab,Timolol With Diuretic,,,beta blockers,False,False
14,14.0,020400040AAAAAA,Co-Tenidone,Co-Tenidone_Tab 50mg/12.5mg,Co-Tenidone (Atenolol/Chlortalidone),,50 mg,beta blockers,False,False
15,15.0,020400040AAABAB,Co-Tenidone,Co-Tenidone_Tab 100mg/25mg,Co-Tenidone (Atenolol/Chlortalidone),,100 mg,beta blockers,False,False
16,16.0,020400040AAACAC,Co-Tenidone,Co-Tenidone_Liq Spec 100mg/25mg/5ml,Co-Tenidone (Atenolol/Chlortalidone),,25 mg/5 ml,beta blockers,False,False
17,17.0,020400040BBAAAA,Tenoret,Tenoret_Tab 50mg/12.5mg,Co-Tenidone (Atenolol/Chlortalidone),,50 mg,beta blockers,False,False
18,18.0,020400040BCAAAB,Tenoretic,Tenoretic_Tab 100mg/25mg,Co-Tenidone (Atenolol/Chlortalidone),,100 mg,beta blockers,False,False
19,19.0,020400040BDAAAA,Atenix Co,Atenix Co 50_Tab 50mg/12.5mg,Co-Tenidone (Atenolol/Chlortalidone),,50 mg,beta blockers,False,False
20,20.0,020400040BDABAB,Atenix Co,Atenix Co 100_Tab 100mg/25mg,Co-Tenidone (Atenolol/Chlortalidone),,100 mg,beta blockers,False,False
21,21.0,020400040BEAAAA,Tenchlor,Tenchlor_Tab 50mg/12.5mg,Co-Tenidone (Atenolol/Chlortalidone),,50 mg,beta blockers,False,False
22,22.0,020400040BEABAB,Tenchlor,Tenchlor_Tab 100mg/25mg,Co-Tenidone (Atenolol/Chlortalidone),,100 mg,beta blockers,False,False
23,23.0,020400040BFAAAA,Totaretic,Totaretic 50_Tab 50mg/12.5mg,Co-Tenidone (Atenolol/Chlortalidone),,50 mg,beta blockers,False,False
24,24.0,020400040BFABAB,Totaretic,Totaretic 100_Tab 100mg/25mg,Co-Tenidone (Atenolol/Chlortalidone),,100 mg,beta blockers,False,False
25,25.0,020400050AAAAAA,Tertatolol,Tertatolol_Tab 5mg,Tertatolol,,5 mg,beta blockers,False,False
26,26.0,020400050BBAAAA,Artex,Artex_Tab 5mg,Tertatolol,,5 mg,beta blockers,False,False
27,27.0,020400060AAAAAA,Celiprolol HCl,Celiprolol HCl_Tab 200mg,Celiprolol Hydrochloride,,200 mg,beta blockers,False,False
28,28.0,020400060AAABAB,Celiprolol HCl,Celiprolol HCl_Tab 400mg,Celiprolol Hydrochloride,,400 mg,beta blockers,False,False
29,29.0,020400060AAACAC,Celiprolol HCl,Celiprolol HCl_Liq Spec 200mg/5ml,Celiprolol Hydrochloride,,200 mg/5 ml,beta blockers,False,False
30,30.0,020400060BBAAAA,Celectol,Celectol_Tab 200mg,Celiprolol Hydrochloride,,200 mg,beta blockers,False,False
31,31.0,020400060BBABAB,Celectol,Celectol_Tab 400mg,Celiprolol Hydrochloride,,400 mg,beta blockers,False,False
32,32.0,020400070AAAAAA,Esmolol HCl,Esmolol HCl_I/V Inf 10mg/ml 10ml Vl,Esmolol Hydrochloride,,10 mg/mL,beta blockers,False,False
33,33.0,020400070AAABAB,Esmolol HCl,Esmolol HCl_I/V Inf 250mg/ml 10ml Amp,Esmolol Hydrochloride,,250 mg/mL,beta blockers,False,False
34,34.0,020400070BBAAAA,Brevibloc,Brevibloc_I/V Inf 10mg/ml 10ml Vl,Esmolol Hydrochloride,,10 mg/mL,beta blockers,False,False
35,35.0,020400080AAAAAA,Carvedilol,Carvedilol_Cap 25mg,Carvedilol,,25 mg,beta blockers,False,False
36,36.0,020400080AAABAB,Carvedilol,Carvedilol_Tab 12.5mg,Carvedilol,,12.5 mg,beta blockers,False,False
37,37.0,020400080AAACAC,Carvedilol,Carvedilol_Tab 25mg,Carvedilol,,25 mg,beta blockers,False,False
38,38.0,020400080AAADAD,Carvedilol,Carvedilol_Liq Spec 3.125mg/5ml,Carvedilol,,125 mg/5 ml,beta blockers,False,False
39,39.0,020400080AAAEAE,Carvedilol,Carvedilol_Tab 3.125mg,Carvedilol,,3.125 mg,beta blockers,False,False
40,40.0,020400080AAAFAF,Carvedilol,Carvedilol_Tab 6.25mg,Carvedilol,,6.25 mg,beta blockers,False,False
41,41.0,020400080AAAGAG,Carvedilol,Carvedilol_Liq Spec 5mg/5ml,Carvedilol,,5 mg/5 ml,beta blockers,False,False
42,42.0,020400080AAAHAH,Carvedilol,Carvedilol_Liq Spec 4mg/5ml,Carvedilol,,4 mg/5 ml,beta blockers,False,False
43,43.0,020400080AAAIAI,Carvedilol,Carvedilol_Liq Spec 1.7mg/5ml,Carvedilol,,7 mg/5 ml,beta blockers,False,False
44,44.0,020400080AAAJAJ,Carvedilol,Carvedilol_Liq Spec 1mg/5ml,Carvedilol,,1 mg/5 ml,beta blockers,False,False
45,45.0,020400080AAAKAK,Carvedilol,Carvedilol_Liq Spec 13mg/5ml,Carvedilol,,13 mg/5 ml,beta blockers,False,False
46,46.0,020400080AAALAL,Carvedilol,Carvedilol_Liq Spec 75mg/5ml,Carvedilol,,75 mg/5 ml,beta blockers,False,False
47,47.0,020400080AAAMAM,Carvedilol,Carvedilol_Liq Spec 1.5mg/5ml,Carvedilol,,5 mg/5 ml,beta blockers,False,False
48,48.0,020400080AAANAN,Carvedilol,Carvedilol_Suppos 3.5mg,Carvedilol,,3.5 mg,beta blockers,False,False
49,49.0,020400080AAAPAP,Carvedilol,Carvedilol_Oral Susp 5mg/5ml,Carvedilol,,5 mg/5 ml,beta blockers,False,False
50,50.0,020400080BBAAAB,Eucardic,Eucardic 12.5_Tab 12.5mg,Carvedilol,,12.5 mg,beta blockers,False,False
51,51.0,020400080BBABAC,Eucardic,Eucardic 25_Tab 25mg,Carvedilol,,25 mg,beta blockers,False,False
52,52.0,020400080BBACAE,Eucardic,Eucardic 3.125_Tab 3.125mg,Carvedilol,,3.125 mg,beta blockers,False,False
53,53.0,020400080BBADAF,Eucardic,Eucardic 6.25_Tab 6.25mg,Carvedilol,,6.25 mg,beta blockers,False,False
54,54.0,020400090AAAAAA,Gppe Tab,Gppe Tab_Monozide 10,Bisoprolol Fumarate With Diuretic,,,beta blockers,False,False
55,55.0,020400090BBAAAA,Monozide 10,Monozide 10_Tab,Bisoprolol Fumarate With Diuretic,,,beta blockers,False,False
56,56.0,0204000A0AAAAAA,Atenolol/Bendroflumethiazide,Atenolol/Bendroflumeth_Cap 25mg/1.25mg,Atenolol with Thiazides,,25 mg,beta blockers,False,False
57,57.0,0204000A0BBAAAA,Tenben,Tenben_Cap,Atenolol with Thiazides,,,beta blockers,False,False
58,58.0,0204000AAAAAAAA,Penbutolol Sulf,Penbutolol Sulf_Tab 40mg,Penbutolol Sulfate,,40 mg,beta blockers,False,False
59,59.0,0204000AABBAAAA,Betapressin,Betapressin_Tab 40mg,Penbutolol Sulfate,,40 mg,beta blockers,False,False
60,60.0,0204000ABAAAAAA,Nebivolol,Nebivolol_Tab 5mg,Nebivolol,,5 mg,beta blockers,False,False
61,61.0,0204000ABAAABAB,Nebivolol,Nebivolol_Tab 2.5mg,Nebivolol,,2.5 mg,beta blockers,False,False
62,62.0,0204000ABAAACAC,Nebivolol,Nebivolol_Tab 10mg,Nebivolol,,10 mg,beta blockers,False,False
63,63.0,0204000ABBBAAAA,Nebilet,Nebilet_Tab 5mg,Nebivolol,,5 mg,beta blockers,False,False
64,64.0,0204000ABBCAAAA,Hypoloc,Hypoloc_Tab 5mg,Nebivolol,,5 mg,beta blockers,False,False
65,65.0,0204000ACAAAAAA,Bisoprolol Fumarate/Aspirin,Bisoprolol/Aspirin_Cap 5mg/75mg,Bisoprolol Fumarate/Aspirin,,5 mg,beta blockers,False,False
66,66.0,0204000ACAAABAB,Bisoprolol Fumarate/Aspirin,Bisoprolol/Aspirin_Cap 10mg/75mg,Bisoprolol Fumarate/Aspirin,,10 mg,beta blockers,False,False
67,67.0,0204000ACAAACAC,Bisoprolol Fumarate/Aspirin,Bisoprolol/Aspirin_Cap 10mg/100mg,Bisoprolol Fumarate/Aspirin,,10 mg,beta blockers,False,False
68,68.0,0204000ACAAADAD,Bisoprolol Fumarate/Aspirin,Bisoprolol/Aspirin_Cap 5mg/100mg,Bisoprolol Fumarate/Aspirin,,5 mg,beta blockers,False,False
69,69.0,0204000B0AAAAAA,Acebut HCl/Hydchloroth,Acebut HCl/Hydchloroth_Tab 200mg/12.5mg,Acebutolol Hydrochloride With Diuretic,,200 mg,beta blockers,False,True
70,70.0,0204000B0BBAAAA,Secadrex,Secadrex_Tab,Acebutolol Hydrochloride With Diuretic,,,beta blockers,False,False
71,71.0,0204000C0AAAAAA,Acebut HCl,Acebut HCl_Cap 100mg,Acebutolol Hydrochloride,,100 mg,beta blockers,False,False
72,72.0,0204000C0AAABAB,Acebut HCl,Acebut HCl_Cap 200mg,Acebutolol Hydrochloride,,200 mg,beta blockers,False,False
73,73.0,0204000C0AAACAC,Acebut HCl,Acebut HCl_Inj 5mg/ml 2ml Amp,Acebutolol Hydrochloride,,5 mg/mL,beta blockers,False,False
74,74.0,0204000C0AAADAD,Acebut HCl,Acebut HCl_Tab 400mg,Acebutolol Hydrochloride,,400 mg,beta blockers,False,False
75,75.0,0204000C0BBAAAA,Sectral,Sectral_Cap 100mg,Acebutolol Hydrochloride,,100 mg,beta blockers,False,False
76,76.0,0204000C0BBABAB,Sectral,Sectral 200_Cap 200mg,Acebutolol Hydrochloride,,200 mg,beta blockers,False,False
77,77.0,0204000C0BBACAC,Sectral,Sectral_Inj 5mg/ml 2ml Amp,Acebutolol Hydrochloride,,5 mg/mL,beta blockers,False,False
78,78.0,0204000C0BBADAD,Sectral,Sectral 400_Tab 400mg,Acebutolol Hydrochloride,,400 mg,beta blockers,False,False
79,79.0,0204000D0AAAAAA,Practolol,Practolol_Inj 2mg/ml 5ml Amp,Practolol,,2 mg/mL,beta blockers,False,False
80,80.0,0204000D0BBAAAA,Eraldin,Eraldin_Inj 10mg/5ml Amp,Practolol,,10 mg/5 ml,beta blockers,False,False
81,81.0,0204000E0AAAAAA,Atenolol,Atenolol_Oral Soln 25mg/5ml S/F,Atenolol,,25 mg/5 ml,beta blockers,False,False
82,82.0,0204000E0AAABAB,Atenolol,Atenolol_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
83,83.0,0204000E0AAACAC,Atenolol,Atenolol_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
84,84.0,0204000E0AAADAD,Atenolol,Atenolol_Inj 500mcg/ml 10ml Amp,Atenolol,,,beta blockers,False,False
85,85.0,0204000E0AAAEAE,Atenolol,Atenolol_Pdrs 15mg,Atenolol,,15 mg,beta blockers,False,False
86,86.0,0204000E0AAAFAF,Atenolol,Atenolol_Pdrs 20mg,Atenolol,,20 mg,beta blockers,False,False
87,87.0,0204000E0AAAGAG,Atenolol,Atenolol_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
88,88.0,0204000E0AAAHAH,Atenolol,Atenolol_Cap 100mg,Atenolol,,100 mg,beta blockers,False,False
89,89.0,0204000E0AAAIAI,Atenolol,Atenolol_Syr 125mg/5ml,Atenolol,,125 mg/5 ml,beta blockers,False,False
90,90.0,0204000E0AAAJAJ,Atenolol,Atenolol_Tab 50mg C/F,Atenolol,,50 mg,beta blockers,False,False
91,91.0,0204000E0AAAKAK,Atenolol,Atenolol_Oral Liq @spec,Atenolol,,,beta blockers,False,False
92,92.0,0204000E0AAALAL,Atenolol,Atenolol_Tab 25mg C/F,Atenolol,,25 mg,beta blockers,False,False
93,93.0,0204000E0AAAMAM,Atenolol,Atenolol_Liq Spec 3.125mg/5ml,Atenolol,,125 mg/5 ml,beta blockers,False,False
94,94.0,0204000E0AAANAN,Atenolol,Atenolol_Liq Spec 25mg/5ml,Atenolol,,25 mg/5 ml,beta blockers,False,False
95,95.0,0204000E0AAAPAP,Atenolol,Atenolol_Liq Spec 3mg/5ml,Atenolol,,3 mg/5 ml,beta blockers,False,False
96,96.0,0204000E0AAAQAQ,Atenolol,Atenolol_Liq Spec 12.5mg/5ml,Atenolol,,5 mg/5 ml,beta blockers,False,False
97,97.0,0204000E0AAARAR,Atenolol,Atenolol_Liq Spec 50mg/5ml,Atenolol,,50 mg/5 ml,beta blockers,False,False
98,98.0,0204000E0AAASAS,Atenolol,Atenolol_Liq Spec 10mg/5ml,Atenolol,,10 mg/5 ml,beta blockers,False,False
99,99.0,0204000E0BBAAAD,Tenormin,Tenormin_Inj 500mcg/ml 10ml Amp,Atenolol,,,beta blockers,False,False
100,100.0,0204000E0BBABAA,Tenormin,Tenormin_Syr 25mg/5ml S/F,Atenolol,,25 mg/5 ml,beta blockers,False,False
101,101.0,0204000E0BBACAC,Tenormin,Tenormin_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
102,102.0,0204000E0BBAEAG,Tenormin,Tenormin 25_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
103,103.0,0204000E0BBAFAB,Tenormin,Tenormin L.S._Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
104,104.0,0204000E0BBAGA0,Tenormin,Tenormin_Tab 100mg (Wte),Atenolol,,100 mg,beta blockers,False,False
105,105.0,0204000E0BBAHA0,Tenormin,Tenormin L.S._Tab 50mg (Wte),Atenolol,,50 mg,beta blockers,False,False
106,106.0,0204000E0BCACAB,Atenix,Atenix-50_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
107,107.0,0204000E0BCADAC,Atenix,Atenix-100_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
108,108.0,0204000E0BCAEAG,Atenix,Atenix-25_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
109,109.0,0204000E0BEAAAB,Antipressan,Antipressan_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
110,110.0,0204000E0BEABAC,Antipressan,Antipressan_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
111,111.0,0204000E0BEACAG,Antipressan,Antipressan_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
112,112.0,0204000E0BFAAAB,Vasaten,Vasaten_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
113,113.0,0204000E0BFABAC,Vasaten,Vasaten_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
114,114.0,0204000E0BGAAAB,Totamol,Totamol_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
115,115.0,0204000E0BGABAC,Totamol,Totamol_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
116,116.0,0204000E0BGACAG,Totamol,Totamol_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
117,117.0,0204000E0BHAAAC,Kentol,Kentol_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
118,118.0,0204000E0BHABAB,Kentol,Kentol_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
119,119.0,0204000E0BHACAG,Kentol,Kentol_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
120,120.0,0204000E0BIAAAG,Atenamin,Atenamin_Tab 25mg,Atenolol,,25 mg,beta blockers,False,False
121,121.0,0204000E0BIABAB,Atenamin,Atenamin_Tab 50mg,Atenolol,,50 mg,beta blockers,False,False
122,122.0,0204000E0BIACAC,Atenamin,Atenamin_Tab 100mg,Atenolol,,100 mg,beta blockers,False,False
123,123.0,0204000F0AAAAAA,Gppe Cap,Gppe Cap_Kalten,Atenolol With Diuretic,,,beta blockers,False,False
124,124.0,0204000F0BBAAAA,Kalten,Kalten_Cap,Atenolol With Diuretic,,,beta blockers,False,False
125,125.0,0204000G0AAAAAA,Betaxolol HCl,Betaxolol HCl_Tab 20mg,Betaxolol Hydrochloride,,20 mg,beta blockers,False,False
126,126.0,0204000G0BBAAAA,Kerlone,Kerlone_Tab 20mg,Betaxolol Hydrochloride,,20 mg,beta blockers,False,False
127,127.0,0204000H0AAAAAA,Bisoprolol Fumar,Bisoprolol Fumar_Tab 5mg,Bisoprolol Fumarate,,5 mg,beta blockers,False,False
128,128.0,0204000H0AAABAB,Bisoprolol Fumar,Bisoprolol Fumar_Tab 10mg,Bisoprolol Fumarate,,10 mg,beta blockers,False,False
129,129.0,0204000H0AAACAC,Bisoprolol Fumar,Hydchloroth/Bisoprolol_Tab 12.5mg/5mg,Bisoprolol Fumarate,,12.5 mg,beta blockers,False,True
130,130.0,0204000H0AAADAD,Bisoprolol Fumar,Bisoprolol Fumar_Pdrs 1mg,Bisoprolol Fumarate,,1 mg,beta blockers,False,False
131,131.0,0204000H0AAAEAE,Bisoprolol Fumar,Bisoprolol Fumar_Liq Spec 1mg/5ml,Bisoprolol Fumarate,,1 mg/5 ml,beta blockers,False,False
