,Unnamed: 0.1,Unnamed: 0,read_code,brand_name,term_description,term,dose,quantity,group,with_calcium_channel_blocker,with_diuretic
0,0.0,0.0,X75lZ,Soprol,Peripheral vasoproliferative retinopathy,Bisoprolol Fumarate,,,beta blockers,False,False
1,1.0,1.0,X77uC,Concor,Discordant ventriculoarterial connection with concordant atrioventricular connection,Bisoprolol Fumarate,,,beta blockers,False,False
2,2.0,2.0,XM04s,Soprol,Vasoproliferative retinopathy,Bisoprolol Fumarate,,,beta blockers,False,False
3,3.0,3.0,Xa5LO,Atenolol,Atenolol sensitivity,Atenolol,,,beta blockers,False,False
4,4.0,4.0,Xa8f7,Concor,Salmonella concord,Bisoprolol Fumarate,,,beta blockers,False,False
5,5.0,5.0,Xa8vy,Kalten,Salmonella kaltenhausen,Atenolol With Diuretic,,,beta blockers,False,False
6,6.0,6.0,XaQDq,Concor,Needs assistance with medication concordance,Bisoprolol Fumarate,,,beta blockers,False,False
7,7.0,7.0,XaQaL,Soprol,Bisoprolol not indicated,Bisoprolol Fumarate,,,beta blockers,False,False
8,8.0,8.0,XaQaM,Carvedilol,Carvedilol not indicated,Carvedilol,,,beta blockers,False,False
9,9.0,9.0,XaQaN,Nebivolol,Nebivolol not indicated,Nebivolol,,,beta blockers,False,False
10,10.0,10.0,XaQaO,Soprol,Bisoprolol not tolerated,Bisoprolol Fumarate,,,beta blockers,False,False
11,11.0,11.0,XaQaP,Carvedilol,Carvedilol not tolerated,Carvedilol,,,beta blockers,False,False
12,12.0,12.0,XaQaQ,Nebivolol,Nebivolol not tolerated,Nebivolol,,,beta blockers,False,False
13,13.0,13.0,bc7..,Practolol,Practolol [antiarrhythmic],Practolol,,,beta blockers,False,False
14,14.0,14.0,bc71.,Eraldin,Eraldin 10mg/5mL injection,Practolol,10 mg/5 ml,,beta blockers,False,False
15,15.0,15.0,bc7z.,Practolol,Practolol 10mg/5mL injection,Practolol,10 mg/5 ml,,beta blockers,False,False
16,16.0,16.0,bd15.,Angilol,Angilol 10mg tablet,Propranolol Hydrochloride,10 mg,,beta blockers,False,False
