,read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0,bc7..,Practolol,*PRACTOLOL [ANTIARRHYTHMIC],Practolol,,,beta blockers,False,False
1,bc71.,Eraldin,*ERALDIN 10mg/5mL injection,Practolol,,10 mg/5 ml,beta blockers,False,False
2,bc7z.,Practolol,*PRACTOLOL 10mg/5mL injection,Practolol,,10 mg/5 ml,beta blockers,False,False
3,bd1..,Propranolol Hydrochloride,PROPRANOLOL HYDROCHLORIDE,Propranolol Hydrochloride,,,beta blockers,False,False
4,bd15.,Angilol,*ANGILOL 10mg tablets,Propranolol Hydrochloride,,10 mg,beta blockers,False,False
5,bd16.,Angilol,*ANGILOL 40mg tablets,Propranolol Hydrochloride,,40 mg,beta blockers,False,False
6,bd17.,Angilol,*ANGILOL 80mg tablets,Propranolol Hydrochloride,,80 mg,beta blockers,False,False
7,bd18.,Angilol,*ANGILOL 160mg tablets,Propranolol Hydrochloride,,160 mg,beta blockers,False,False
8,bd19.,Apsolol,*APSOLOL 10mg tablets,Propranolol Hydrochloride,,10 mg,beta blockers,False,False
9,bd1a.,Apsolol,*APSOLOL 40mg tablets,Propranolol Hydrochloride,,40 mg,beta blockers,False,False
10,bd1A.,Propanix,*PROPANIX 10mg tablets,Propranolol Hydrochloride,,10 mg,beta blockers,False,False
11,bd1b.,Apsolol,*APSOLOL 80mg tablets,Propranolol Hydrochloride,,80 mg,beta blockers,False,False
12,bd1B.,Propanix,*PROPANIX 40mg tablets,Propranolol Hydrochloride,,40 mg,beta blockers,False,False
13,bd1c.,Apsolol,*APSOLOL 160mg tablets,Propranolol Hydrochloride,,160 mg,beta blockers,False,False
14,bd1C.,Propanix,*PROPANIX 80mg tablets,Propranolol Hydrochloride,,80 mg,beta blockers,False,False
15,bd1d.,Bedranol,*BEDRANOL 10mg tablets,Propranolol Hydrochloride,,10 mg,beta blockers,False,False
16,bd1D.,Propanix,*PROPANIX 160mg tablets,Propranolol Hydrochloride,,160 mg,beta blockers,False,False
