bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205010AAAAAAAA,Macitentan,Macitentan_Tab 10mg,Macitentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010AABBAAAA,Opsumit,Opsumit_Tab 10mg,Macitentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABAAAAAA,Riociguat,Riociguat_Tab 500mcg,Riociguat,,,Vasodilator Antihypertensive Drugs,False,False
0205010ABAAABAB,Riociguat,Riociguat_Tab 1mg,Riociguat,,1 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABAAACAC,Riociguat,Riociguat_Tab 1.5mg,Riociguat,,1.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABAAADAD,Riociguat,Riociguat_Tab 2mg,Riociguat,,2 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABAAAEAE,Riociguat,Riociguat_Tab 2.5mg,Riociguat,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABBBAAAA,Adempas,Adempas_Tab 0.5mg,Riociguat,,0.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABBBABAB,Adempas,Adempas_Tab 1mg,Riociguat,,1 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABBBACAC,Adempas,Adempas_Tab 1.5mg,Riociguat,,1.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABBBADAD,Adempas,Adempas_Tab 2mg,Riociguat,,2 mg,Vasodilator Antihypertensive Drugs,False,False
0205010ABBBAEAE,Adempas,Adempas_Tab 2.5mg,Riociguat,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010E0AAAAAA,Diazoxide (Parent),Diazoxide_Inj 15mg/ml 20ml Amp,Diazoxide,,15 mg/mL,Vasodilator Antihypertensive Drugs,False,False
0205010E0BBAAAA,Eudemine (Parent),Eudemine_Inj 300mg/20ml Amp,Diazoxide,,300 mg/20 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA1A1,Hydralazine HCl,Hydralazine HCl_Pdrs 5mg,Hydralazine Hydrochloride,,5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA2A2,Hydralazine HCl,Hydralazine HCl_Pdrs 2.5mg,Hydralazine Hydrochloride,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA3A3,Hydralazine HCl,Hydralazine HCl_Liq Spec 10mg/5ml,Hydralazine Hydrochloride,,10 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA4A4,Hydralazine HCl,Hydralazine HCl_Liq Spec 50mg/5ml,Hydralazine Hydrochloride,,50 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA5A5,Hydralazine HCl,Hydralazine HCl_Liq Spec 5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA6A6,Hydralazine HCl,Hydralazine HCl_Liq Spec 75mg/5ml,Hydralazine Hydrochloride,,75 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA7A7,Hydralazine HCl,Hydralazine HCl_Liq Spec 7.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA8A8,Hydralazine HCl,Hydralazine HCl_Liq Spec 25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAA9A9,Hydralazine HCl,Hydralazine HCl_Liq Spec 20mg/5ml,Hydralazine Hydrochloride,,20 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAAAA,Hydralazine HCl,Hydralazine HCl_Mix 35mg/5ml,Hydralazine Hydrochloride,,35 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAABAB,Hydralazine HCl,Hydralazine HCl_Pdr,Hydralazine Hydrochloride,,,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAACAC,Hydralazine HCl,Hydralazine HCl_Syr 6.25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAADAD,Hydralazine HCl,Hydralazine HCl_Tab 3.125mg,Hydralazine Hydrochloride,,3.125 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAEAE,Hydralazine HCl,Hydralazine HCl_Pdrs 7mg,Hydralazine Hydrochloride,,7 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAFAF,Hydralazine HCl,Hydralazine HCl_Tab 12.5mg           @gn,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAGAG,Hydralazine HCl,Hydralazine HCl_Tab 25mg,Hydralazine Hydrochloride,,25 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAHAH,Hydralazine HCl,Hydralazine HCl_Tab 50mg,Hydralazine Hydrochloride,,50 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAIAI,Hydralazine HCl,Hydralazine HCl_Tab 100mg,Hydralazine Hydrochloride,,100 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAJAJ,Hydralazine HCl,Hydralazine HCl_Syr 5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAKAK,Hydralazine HCl,Hydralazine HCl_Inj 20mg Amp,Hydralazine Hydrochloride,,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAALAL,Hydralazine HCl,Hydralazine HCl_Liq 5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAMAM,Hydralazine HCl,Hydralazine HCl_Susp 5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAANAN,Hydralazine HCl,Hydralazine HCl_Syr 10mg/5ml,Hydralazine Hydrochloride,,10 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAPAP,Hydralazine HCl,Hydralazine HCl_Susp 10mg/5ml,Hydralazine Hydrochloride,,10 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAQAQ,Hydralazine HCl,Hydralazine HCl_Susp 20mg/5ml,Hydralazine Hydrochloride,,20 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAARAR,Hydralazine HCl,Hydralazine HCl_Susp 25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAASAS,Hydralazine HCl,Hydralazine HCl_Cap 12.5mg,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAATAT,Hydralazine HCl,Hydralazine HCl_Susp 6.25mg/5ml,Hydralazine Hydrochloride,,25 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAUAU,Hydralazine HCl,Hydralazine HCl_Cap 6.25mg,Hydralazine Hydrochloride,,6.25 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAVAV,Hydralazine HCl,Hydralazine HCl_Susp 50mg/5ml,Hydralazine Hydrochloride,,50 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAWAW,Hydralazine HCl,Hydralazine HCl_Tab 12.5mg,Hydralazine Hydrochloride,,12.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAXAX,Hydralazine HCl,Hydralazine HCl_Susp 15mg/5ml,Hydralazine Hydrochloride,,15 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAYAY,Hydralazine HCl,Hydralazine HCl_Susp 9mg/5ml,Hydralazine Hydrochloride,,9 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AAAZAZ,Hydralazine HCl,Hydralazine HCl_Oral Liq @spec,Hydralazine Hydrochloride,,,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABABA,Hydralazine HCl,Hydralazine HCl_Liq Spec 62.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABBBB,Hydralazine HCl,Hydralazine HCl_Liq Spec 12.5mg/5ml,Hydralazine Hydrochloride,,5 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABCBC,Hydralazine HCl,Hydralazine HCl_Pdrs 10mg,Hydralazine Hydrochloride,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABDBD,Hydralazine HCl,Hydralazine HCl_Pdrs 7.5mg,Hydralazine Hydrochloride,,7.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABEBE,Hydralazine HCl,Hydralazine HCl_Liq Spec 100mg/5ml,Hydralazine Hydrochloride,,100 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
0205010J0AABFBF,Hydralazine HCl,Hydralazine HCl_Liq Spec 4mg/5ml,Hydralazine Hydrochloride,,4 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
