read_code,brand_name,term_description,term,dose,quantity,group,with_calcium_channel_blocker,with_diuretic
AC7x0,Amias,Syngamiasis,Candesartan Cilexetil,,,Angiotensin-II Receptor Antagonists,False,False
C3541,Hypercal,Hypercalcaemia: [NEC] or [secondary],Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3541,Hypercal,Secondary hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3541,Hypercal,Hypercalcaemia NEC,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3542,Hypercal,Idiopathic hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3544,Hypercal,Hypercalciuria,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3544,Hypercal,Hypercalcinuria,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3544,Hypercal,Hypercalcuria,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
C3545,Hypercal,Familial benign hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
X30Jn,Hypercal,Bartter's syndrome with hypercalciuria and nephrocalcinosis,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
X30Kd,Hypercal,Hypercalcaemic nephropathy,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
X30Lv,Hypercal,Acute hypercalcaemia of dialysis,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
X40BT,Ranace,Placenta membranacea,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,False,False
X40QU,Hypercal,Secondary hypercalcaemia,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
