read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
a4c..,Thelin,PROPANTHELINE BROMIDE [ANTISPASMODIC],Sitaxentan Sodium,,,Vasodilator Antihypertensive Drugs,False,False
a4c1.,Thelin,PROPANTHELINE 15mg tablets,Sitaxentan Sodium,,15 mg,Vasodilator Antihypertensive Drugs,False,False
bA1..,Ramipril,FELODIPINE+RAMIPRIL,Ramipril,,,Angiotensin-Converting Enzyme Inhibitors,True,False
bA11.,Triapin,TRIAPIN MITE 2.5mg/2.5mg tablets,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bA12.,Triapin,TRIAPIN 5mg/5mg tablets,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,False,False
bA1y.,Ramipril,FELODIPINE+RAMIPRIL 2.5mg/2.5mg tablets,Ramipril,,2.5 mg,Angiotensin-Converting Enzyme Inhibitors,True,False
bA1z.,Ramipril,FELODIPINE+RAMIPRIL 5mg/5mg tablets,Ramipril,,5 mg,Angiotensin-Converting Enzyme Inhibitors,True,False
be1..,Diazoxide,DIAZOXIDE [CARDIOVASCULAR USE],Diazoxide,,,Vasodilator Antihypertensive Drugs,False,False
be1z.,Diazoxide,DIAZOXIDE 300mg/20mL injection,Diazoxide,,300 mg/20 ml,Vasodilator Antihypertensive Drugs,False,False
be2..,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride,,,Vasodilator Antihypertensive Drugs,False,False
be21.,Apresoline,APRESOLINE 25mg tablets,Hydralazine Hydrochloride,,25 mg,Vasodilator Antihypertensive Drugs,False,False
be22.,Apresoline,*APRESOLINE 50mg tablets,Hydralazine Hydrochloride,,50 mg,Vasodilator Antihypertensive Drugs,False,False
be23.,Apresoline,APRESOLINE 20mg injection,Hydralazine Hydrochloride,,20 mg,Vasodilator Antihypertensive Drugs,False,False
be2x.,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE 25mg tablets,Hydralazine Hydrochloride,,25 mg,Vasodilator Antihypertensive Drugs,False,False
be2y.,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE 50mg tablets,Hydralazine Hydrochloride,,50 mg,Vasodilator Antihypertensive Drugs,False,False
be2z.,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE 20mg injection,Hydralazine Hydrochloride,,20 mg,Vasodilator Antihypertensive Drugs,False,False
be3..,Minoxidil,MINOXIDIL,Minoxidil,,,Vasodilator Antihypertensive Drugs,False,False
be31.,Loniten,LONITEN 2.5mg tablets,Minoxidil,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
be32.,Loniten,LONITEN 5mg tablets,Minoxidil,,5 mg,Vasodilator Antihypertensive Drugs,False,False
be33.,Loniten,LONITEN 10mg tablets,Minoxidil,,10 mg,Vasodilator Antihypertensive Drugs,False,False
be3x.,Minoxidil,MINOXIDIL 2.5mg tablets,Minoxidil,,2.5 mg,Vasodilator Antihypertensive Drugs,False,False
be3y.,Minoxidil,MINOXIDIL 5mg tablets,Minoxidil,,5 mg,Vasodilator Antihypertensive Drugs,False,False
be3z.,Minoxidil,MINOXIDIL 10mg tablets,Minoxidil,,10 mg,Vasodilator Antihypertensive Drugs,False,False
be4..,Sodium Nitroprusside,SODIUM NITROPRUSSIDE,Sodium Nitroprusside,,,Vasodilator Antihypertensive Drugs,False,False
be4y.,Sodium Nitroprusside,SODIUM NITROPRUSSIDE 50mg injection (pdr for recon),Sodium Nitroprusside,,50 mg,Vasodilator Antihypertensive Drugs,False,False
be4z.,Sod Nitroprusside,SOD NITROPRUSSIDE 50mg/5mL intravenous infusion,Sodium Nitroprusside,,50 mg/5 ml,Vasodilator Antihypertensive Drugs,False,False
bf1..,Clonidine Hydrochloride,CLONIDINE HYDROCHLORIDE [ANTIHYPERTENSIVE],Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
bf11.,Catapres,CATAPRES 100micrograms tablets,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
bf12.,Catapres,CATAPRES 300micrograms tablets,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
bf13.,Catapres,CATAPRES PERLONGETS 250microgram m/r capsules,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
bf14.,Catapres,CATAPRES 150micrograms/mL injection,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
bf2..,Methyldopa,METHYLDOPA,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
bf21.,Methyldopa,METHYLDOPA 125mg tablets,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf22.,Methyldopa,METHYLDOPA 250mg tablets,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf23.,Methyldopa,METHYLDOPA 500mg tablets,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
